M,N,added_sinusoid,alpha,b_max,barrier,delta,effective_mass,mu,muSc,ratio,wire_width
1,7,True,5.1e-30,0.4,2e-24,7.2e-24,1.7307828764e-32,3e-25,2.2e-25,0.2,7
1,7,True,5.1e-30,0.4,2e-24,7.2e-24,1.7307828764e-32,3e-25,2.2e-25,0.25,7
1,7,True,5.1e-30,0.4,2e-24,7.2e-24,1.7307828764e-32,3e-25,2.2e-25,0.3,7
1,7,True,5.1e-30,0.4,2e-24,7.2e-24,1.7307828764e-32,3e-25,2.2e-25,0.35,7
1,7,True,5.1e-30,0.4,2e-24,7.2e-24,1.7307828764e-32,3e-25,2.2e-25,0.39999999999999997,7
1,7,True,5.1e-30,0.4,2e-24,7.2e-24,1.7307828764e-32,3e-25,2.2e-25,0.44999999999999996,7
1,7,True,5.1e-30,0.4,2e-24,7.2e-24,1.7307828764e-32,3e-25,2.2e-25,0.49999999999999994,7
